Population,Total,WILD,US-IA,US-NE,US-WI,CA-NL,PL-SE,PL-W,ICG - C,ICG - T,ICG - A,,,,,
A-67,9,,,4,,,2,3,,,,,,,A,67
E-86,34,,,7,,2,,19,2,4,,,,,E,86
E-88,6,,,,6,,,,,,,,,,E,88
E-9,40,,,,9,,17,7,2,,5,,,,E,9
F-12,19,,,,4,,15,,,,,,,,F,12
F-17,202,36,10,34,,86,7,7,7,10,5,,,,F,17
F-274,7,7,,,,,,,,,,,,,F,274
F-275,3,3,,,,,,,,,,,,,F,275
F-279,2,,,,,,,,2,,,,,,F,279
F6-17,4,4,,,,,,,,,,,,,F6,17
F7-12,1,,,,,,1,,,,,,,,F7,12
F7-17,8,,,3,,,1,4,,,,,,,F7,17
F-76,8,,,,,,,8,,,,,,,F,76
F7-9,1,1,,,,,,,,,,,,,F7,9
F-79,15,12,,,,,,,2,,1,,,,F,79
F-85,7,5,,,,2,,,,,,,,,F,85
F-9,60,34,,8,18,,,,,,,,,,F,9
G-73,5,,,,,,,,1,,4,,,,G,73
O-24,6,,,,4,2,,,,,,,,,O,24
